,CO,NO2,SO3,O3,PM25,PM10
2017/1/23 0:00,0.058850261,0.042522796,0.314210851,0.067805594,0.078605605,0.096019746
2017/1/23 1:00,0.061122472,0.041553827,0.321517585,0.062691993,0.078374412,0.095287307
2017/1/23 2:00,0.065962281,0.03900718,0.309162175,0.059694752,0.079882192,0.097594991
2017/1/23 3:00,0.052715292,0.039895401,0.365400592,0.059620101,0.071006393,0.088063251
2017/1/23 4:00,0.052033629,0.033975999,0.454167821,0.054021268,0.07669575,0.095287307
2017/1/23 5:00,0.061804135,0.037112723,0.459983384,0.048396308,0.085008645,0.103715372
2017/1/23 6:00,0.049670529,0.0333735,0.503163411,0.055973394,0.078444775,0.100203678
2017/1/23 7:00,0.051647353,0.03639842,0.504654581,0.055204488,0.068020988,0.083076645
2017/1/23 8:00,0.066871166,0.044553902,0.409922672,0.066088618,0.082525833,0.100675249
2017/1/23 9:00,0.071347421,0.037827027,0.458066165,0.062046261,0.098578666,0.119839064
2017/1/23 10:00,0.067484663,0.090642004,0.601857572,0.083833185,0.057335853,0.065989746
2017/1/23 11:00,0.05862304,0.135736292,0.578850947,0.117773307,0.040046641,0.04679583
2017/1/23 12:00,0.055896387,0.145823499,0.566580747,0.141068183,0.034568373,0.040454714
2017/1/23 13:00,0.063826403,0.136419538,0.519331956,0.143210669,0.03826746,0.046083458
2017/1/23 14:00,0.089888662,0.151283262,0.456148947,0.145218784,0.047314141,0.056859342
2017/1/23 15:00,0.062553965,0.16128351,0.875380781,0.162937222,0.038468497,0.045892823
2017/1/23 16:00,0.069416042,0.150581381,0.783567305,0.146786457,0.038398134,0.045250685
2017/1/23 17:00,0.065814588,0.110561753,0.550092666,0.120647374,0.035382574,0.04244133
2017/1/23 18:00,0.041036128,0.063312132,0.377756002,0.086942403,0.033171163,0.038267431
2017/1/23 19:00,0.034083163,0.047181296,0.349913725,0.074315169,0.040307989,0.046524928
2017/1/23 20:00,0.034219496,0.0386345,0.330400699,0.064856875,0.04510273,0.051842636
2017/1/23 21:00,0.032492615,0.038715248,0.324137784,0.066823932,0.041755458,0.048300842
2017/1/23 22:00,0.05430584,0.045485602,0.309098268,0.073180473,0.045605323,0.052274073
2017/1/23 23:00,0.064144513,0.036913961,0.32400997,0.061549831,0.056793052,0.065819178
2017/1/24 0:00,0.054669393,0.037740068,0.324649042,0.059123671,0.064331953,0.074086709
2017/1/24 1:00,0.054214951,0.028510025,0.35468547,0.044566706,0.069498613,0.078732178
2017/1/24 2:00,0.04817087,0.023851524,0.359009863,0.047388518,0.07093603,0.08070876
2017/1/24 3:00,0.039377414,0.026044125,0.365038451,0.05022526,0.068925656,0.077859271
2017/1/24 4:00,0.035287435,0.025919899,0.339560744,0.055898743,0.074122472,0.083317447
2017/1/24 5:00,0.042717564,0.046957688,0.26415014,0.077151911,0.074584858,0.085183662
2017/1/24 6:00,0.048307203,0.041491714,0.305753787,0.062408319,0.090768365,0.101809024
2017/1/24 7:00,0.041036128,0.029957266,0.342883923,0.050822468,0.100156809,0.113046445
